,date,open,high,close,low,volume,turnover,alt,itl
198,2016/12/28,6.87,6.92,6.86,6.83,44473.95,0.49,0.0404624277457,1
199,2016/12/27,6.87,6.9,6.87,6.84,41453.29,0.45,0.0295275590551,-1
200,2016/12/26,6.82,6.87,6.87,6.71,68465.86,0.75,0.00978473581213,1
201,2016/12/23,6.98,6.99,6.86,6.85,64500.47,0.71,0.0157790927022,-1
202,2016/12/22,7.0,7.08,7.02,6.94,66598.64,0.73,0.0699152542373,-1
203,2016/12/21,6.9,7.1,7.0,6.9,70386.83,0.77,0.021186440678,1
204,2016/12/20,6.94,6.96,6.89,6.86,46777.78,0.51,0.0230607966457,1
205,2016/12/19,6.92,7.02,6.96,6.91,65743.58,0.72,0.016393442623,1
206,2016/12/16,6.82,6.99,6.93,6.82,87465.42,0.96,0.0122448979592,-1
207,2016/12/15,6.77,6.88,6.82,6.73,66270.05,0.73,0.00816326530612,-1
208,2016/12/14,6.83,6.89,6.76,6.72,63813.01,0.7,0.0185950413223,-1
209,2016/12/13,6.83,6.91,6.85,6.68,110023.13,1.2,0.0519750519751,1
210,2016/12/12,7.21,7.22,6.83,6.81,148771.16,1.63,0.0333333333333,1
211,2016/12/9,7.18,7.29,7.19,7.16,68159.1,0.75,0.0102040816327,-1
212,2016/12/8,7.26,7.27,7.17,7.17,64012.19,0.7,0.0102249488753,1
213,2016/12/7,7.21,7.26,7.26,7.17,57446.28,0.63,0.0224032586558,1
214,2016/12/6,7.23,7.26,7.19,7.17,60876.34,0.67,0.0243902439024,-1
215,2016/12/5,7.16,7.24,7.2,7.12,85860.03,0.94,0.0122199592668,1
216,2016/12/2,7.46,7.47,7.24,7.21,186243.69,2.04,0.0102249488753,-1
217,2016/12/1,7.44,7.48,7.45,7.41,87951.64,0.96,0.0102459016393,-1
218,2016/11/30,7.45,7.51,7.42,7.4,130994.96,1.43,0.0082135523614,-1
219,2016/11/29,7.6,7.67,7.48,7.47,213479.48,2.34,0.0082304526749,-1
220,2016/11/28,7.6,7.73,7.63,7.53,329763.44,3.61,0.0208333333333,-1
221,2016/11/25,7.55,7.6,7.56,7.41,171858.69,1.88,0.0168421052632,-1
222,2016/11/24,7.57,7.62,7.55,7.5,146505.48,1.6,0.0189473684211,1
223,2016/11/23,7.6,7.65,7.61,7.53,222938.34,2.44,0.010460251046,1
224,2016/11/22,7.55,7.62,7.59,7.52,190996.88,2.09,0.0168067226891,1
225,2016/11/21,7.55,7.63,7.54,7.52,130904.62,1.43,0.012474012474,1
226,2016/11/18,7.55,7.6,7.56,7.48,143752.8,1.57,0.0166666666667,1
227,2016/11/17,7.55,7.57,7.55,7.46,111647.91,1.22,0.0103092783505,1
228,2016/11/16,7.7,7.72,7.57,7.53,179647.78,1.97,0.0145228215768,-1
229,2016/11/15,7.53,7.62,7.61,7.5,196085.31,2.15,0.0125260960334,-1
230,2016/11/14,7.55,7.58,7.53,7.5,139096.45,1.52,0.0433884297521,1
231,2016/11/11,7.53,7.57,7.56,7.48,178106.05,1.95,0.0231092436975,1
232,2016/11/10,7.45,7.68,7.53,7.44,221069.44,2.42,0.0124223602484,1
233,2016/11/9,7.49,7.49,7.43,7.31,124100.58,1.36,0.0102880658436,1
234,2016/11/8,7.53,7.54,7.49,7.44,153420.91,1.68,0.0143442622951,-1
235,2016/11/7,7.38,7.58,7.53,7.35,228697.19,2.5,0.0123711340206,-1
236,2016/11/4,7.39,7.46,7.4,7.37,108517.34,1.19,0.00824742268041,-1
237,2016/11/3,7.3,7.45,7.38,7.3,87997.08,0.96,0.00824742268041,-1
238,2016/11/2,7.4,7.44,7.32,7.31,82872.02,0.91,0.00618556701031,1
239,2016/10/28,7.63,7.63,7.38,7.38,168198.55,1.84,0.0144628099174,1
240,2016/10/27,7.55,7.58,7.55,7.48,109864.85,1.2,0.0122950819672,-1
241,2016/10/26,7.53,7.56,7.48,7.45,117228.54,1.28,0.106776180698,1
